Theta deg;Theta  rad;r(deg) Vesta;X Vesta;Y Vesta;X trans Vesta;Y trans Vesta;phi* (deg);Ts;Ts en jours ;deltaT_win(s);deltaT_win [JJ HH MM SS];Next window;;;;
96;1.675516082;219433428.4;-36903875.68;351116923;-22937039.06;218231349.1;;;;;;;;;;
97;1.692969374;221053532.4;-43026090.29;350419384.8;-26939648.85;219405832.9;;;;;;;;;;
98;1.710422667;222694191.2;-49135198.74;349615105.4;-30993041.15;220526946.6;;;;;;;;;;
99;1.727875959;224355275.9;-55229340.12;348704329.9;-35096897.57;221593090.2;;;;;;;;;;
100;1.745329252;226036637.7;-61306658.12;347687335.6;-39250850.22;222602633.3;;;;;;;;;;
101;1.762782545;227738106.6;-67365301.51;346564432.4;-43454479.34;223553916.2;;;;;;;;;;
102;1.780235837;229459490.8;-73403424.78;345335962.4;-47707310.7;224445250.4;;;;;;;;;;
103;1.79768913;231200575.1;-79419188.66;344002299.6;-52008813.13;225274919.3;;;;;;;;;;
104;1.815142422;232961120.5;-85410760.68;342563850.5;-56358395.86;226041179.6;;;;;;;;;;
105;1.832595715;234740862.6;-91376315.76;341021053;-60755405.91;226742261.7;;;;;;;;;;
106;1.850049007;236539511;-97314036.72;339374377.3;-65199125.35;227376371.5;;;;;;;;;;
107;1.8675023;238356747.5;-103222114.9;337624324.8;-69688768.61;227941691.3;;;;;;;;;;
108;1.884955592;240192225.8;-109098750.6;335771428.6;-74223479.7;228436381.5;;;;;;;;;;
109;1.902408885;242045569.8;-114942153.8;333816253.3;-78802329.45;228858582.4;;;;;;;;;;
110;1.919862177;243916372.5;-120750544.5;331759394.3;-83424312.69;229206415.3;;;;;;;;;;
111;1.93731547;245804195.3;-126522153.4;329601478.1;-88088345.46;229477985.5;;;;;;;;;;
112;1.954768762;247708566.4;-132255222.4;327343162.2;-92793262.21;229671383.4;;;;;;;;;;
113;1.972222055;249628979.8;-137948005.2;324985134.3;-97537812.97;229784687.4;;;;;;;;;;
114;1.989675347;251564894.3;-143598767.7;322528112.9;-102320660.6;229815966.5;;;;;;;;;;
115;2.00712864;253515732.3;-149205788.6;319972846.2;-107140378.1;229763282.4;;;;;;;;;;
116;2.024581932;255480878.8;-154767360;317320112.8;-111995445.8;229624692.8;;;;;;;;;;
117;2.042035225;257459680;-160281787.8;314570720.5;-116884248.8;229398254.6;;;;;;;;;;
118;2.059488517;259451442.7;-165747392.1;311725506.9;-121805074.3;229082026.8;;;;;;;;;;
119;2.07694181;261455433;-171162508.2;308785338.8;-126756109.2;228674074.2;;;;;;;;;;
120;2.094395102;263470875.5;-176525486.6;305751111.6;-131735437.8;228172471.4;;;;;;;;;;
121;2.111848395;265496952.3;-181834693.6;302623749.7;-136741039.2;227575305.9;;;;;;;;;;
122;2.129301687;267532802;-187088512;299404205.7;-141770785.6;226880683.4;;;;;;;;;;
123;2.14675498;269577519.3;-192285341.4;296093460.2;-146822440;226086731.2;;;;;;;;;;
124;2.164208272;271630153.6;-197423598.8;292692521.8;-151893654.3;225191603.2;;;;;;;;;;
125;2.181661565;273689709.2;-202501719.1;289202426.4;-156981968.1;224193484.8;;;;;;;;;;
126;2.199114858;275755144;-207518155.4;285624237.2;-162084806.9;223090597.8;;;;;;;;;;
127;2.21656815;277825369.2;-212471379.6;281959044.1;-167199481;221881205.4;;;;;;;;;;
128;2.234021443;279899249.3;-217359883;278207963.5;-172323184.8;220563618.4;;;;;;;;;;
129;2.251474735;281975601.4;-222182176.5;274372138;-177452995.7;219136199.8;;;;;;;;;;
130;2.268928028;284053195.1;-226936791.2;270452736.2;-182585874.3;217597371.6;;;;;;;;;;
131;2.28638132;286130752.7;-231622278.7;266450951.8;-187718663.8;215945620.3;;;;;;;;;;
132;2.303834613;288206949.4;-236237211.8;262368003.9;-192848090.8;214179503.1;;;;;;;;;;
133;2.321287905;290280413;-240780184.7;258205136.1;-197970765.6;212297654.5;;;;;;;;;;
134;2.338741198;292349725;-245249813.7;253963616.6;-203083183.6;210298792.8;;;;;;;;;;
135;2.35619449;294413420.9;-249644737.3;249644737.3;-208181726.4;208181726.4;;;;;;;;;;
136;2.373647783;296469990.9;-253963616.6;245249813.7;-213262664.1;205945360.8;;;;;;;;;;
137;2.391101075;298517881.1;-258205136.1;240780184.7;-218322157.3;203588705.3;;;;;;;;;;
138;2.408554368;300555494.1;-262368003.9;236237211.8;-223356260.2;201110880;;;;;;;;;;
139;2.42600766;302581191.3;-266450951.8;231622278.7;-228360923.9;198511122.6;;;;;;;;;;
140;2.443460953;304593293.5;-270452736.2;226936791.2;-233331999.9;195788795.1;;;;;;;;;;
141;2.460914245;306590083.2;-274372138;222182176.5;-238265245;192943391.1;;;;;;;;;;
142;2.478367538;308569806.3;-278207963.5;217359883;-243156325.6;189974542.2;;;;;;;;;;
143;2.49582083;310530674.6;-281959044.1;212471379.6;-248000823.7;186882025.1;;;;;;;;;;
144;2.513274123;312470867.9;-285624237.2;207518155.4;-252794242.3;183665767.9;;;;;;;;;;
145;2.530727415;314388536.8;-289202426.4;202501719.1;-257532012.6;180325856.5;;;;;;;;;;
146;2.548180708;316281805.6;-292692521.8;197423598.8;-262209500.4;176862541.2;;;;;;;;;;
147;2.565634;318148775.5;-296093460.2;192285341.4;-266822014.3;173276242.1;;;;;;;;;;
148;2.583087293;319987527.7;-299404205.7;187088512;-271364813.6;169567555.2;;;;;;;;;;
149;2.600540585;321796126.8;-302623749.7;181834693.6;-275833117.4;165737257.7;;;;;;;;;;
